日期,预测得分,下限,上限,预警
2026-07-12,0.8315487262122945,0.7713265698215831,0.8917708826030059,False
2026-07-13,0.808604863148791,0.7483827067580796,0.8688270195395024,False
2026-07-14,0.8370039280302038,0.7767817716394925,0.8972260844209152,False
2026-07-15,0.8686328930900172,0.8084107366993059,0.9288550494807286,False
2026-07-16,0.8051400750786202,0.7449179186879088,0.8653622314693316,False
2026-07-17,0.8051406683068778,0.7449185119161664,0.8653628246975892,False
2026-07-18,0.8706629684596422,0.8104408120689308,0.9308851248503536,False
2026-07-19,0.841330752337047,0.7811085959463356,0.9015529087277584,False
2026-07-20,0.7966371518350964,0.736414995444385,0.8568593082258078,False
2026-07-21,0.8332052892475322,0.7729831328568209,0.8934274456382436,False
2026-07-22,0.7968560001073562,0.7366338437166449,0.8570781564980676,False
2026-07-23,0.7967724577366319,0.7365503013459205,0.8569946141273432,False
2026-07-24,0.822343701625162,0.7621215452344506,0.8825658580158734,False
2026-07-25,0.7444676905019968,0.6842455341112854,0.8046898468927082,False
2026-07-26,0.751273844887385,0.6910516884966736,0.8114960012780964,False
2026-07-27,0.7932835072563232,0.7330613508656119,0.8535056636470346,False
2026-07-28,0.7770038832941256,0.7167817269034142,0.837226039684837,False
2026-07-29,0.824955598975171,0.7647334425844596,0.8851777553658824,False
2026-07-30,0.7807909070402794,0.720568750649568,0.8410130634309908,False
2026-07-31,0.7625696231460244,0.702347466755313,0.8227917795367358,False
2026-08-01,0.8665595253953297,0.8063373690046183,0.926781681786041,False
2026-08-02,0.8054427663634913,0.74522060997278,0.8656649227542027,False
2026-08-03,0.8160408242319213,0.7558186678412099,0.8762629806226326,False
2026-08-04,0.7621199629173036,0.7018978065265922,0.8223421193080149,False
2026-08-05,0.7939304668261669,0.7337083104354555,0.8541526232168782,False
2026-08-06,0.8176088062966833,0.7573866499059719,0.8778309626873947,False
2026-08-07,0.7720116186352829,0.7117894622445715,0.8322337750259943,False
2026-08-08,0.8271760146597172,0.7669538582690059,0.8873981710504286,False
2026-08-09,0.7918977534986598,0.7316755971079484,0.8521199098893711,False
2026-08-10,0.8030609517988748,0.7428387954081634,0.8632831081895862,False
